onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
33-9091.00,Crossing Guards and Flaggers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,62.61,07/2016,Incumbent,O*NET
33-9091.00,Crossing Guards and Flaggers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,66.8,07/2016,Incumbent,O*NET
33-9091.00,Crossing Guards and Flaggers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",60.73,07/2016,Incumbent,O*NET
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,50.2,08/2020,Incumbent,O*NET
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,44.37,08/2020,Incumbent,O*NET
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",45.67,08/2020,Incumbent,O*NET
33-9093.00,Transportation Security Screeners,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,74.07,06/2009,Occupational Expert,O*NET
33-9093.00,Transportation Security Screeners,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,48.15,06/2009,Occupational Expert,O*NET
33-9093.00,Transportation Security Screeners,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",40.74,06/2009,Occupational Expert,O*NET
33-9094.00,School Bus Monitors,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,32.92,08/2026,Incumbent,O*NET
33-9094.00,School Bus Monitors,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,58.55,08/2026,Incumbent,O*NET
33-9094.00,School Bus Monitors,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",34.44,08/2026,Incumbent,O*NET
33-9099.02,Retail Loss Prevention Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,49.49,07/2014,Incumbent,O*NET
33-9099.02,Retail Loss Prevention Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,52.29,07/2014,Incumbent,O*NET
33-9099.02,Retail Loss Prevention Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",42.46,07/2014,Incumbent,O*NET
35-1011.00,Chefs and Head Cooks,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",37.5,08/2025,Occupational Expert,O*NET
35-1011.00,Chefs and Head Cooks,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,41.67,08/2025,Occupational Expert,O*NET
35-1011.00,Chefs and Head Cooks,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",45.83,08/2025,Occupational Expert,O*NET
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,24.83,08/2025,Incumbent,O*NET
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",29.86,08/2025,Incumbent,O*NET
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",43.47,08/2025,Incumbent,O*NET
35-2011.00,"Cooks, Fast Food",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,66.7,08/2026,Incumbent,O*NET
