level,anzsco_code,anzsco_title,northern_australia,date,vacancies
4,7331,Truck Drivers,Northern Australia,2026-07-01,354
4,7411,Storepersons,Northern Australia,2026-07-01,201
1,8,LABOURERS,Northern Australia,2026-07-01,1141
2,81,Cleaners and Laundry Workers,Northern Australia,2026-07-01,242
2,82,Construction and Mining Labourers,Northern Australia,2026-07-01,224
2,83,Factory Process Workers,Northern Australia,2026-07-01,60
2,84,"Farm, Forestry and Garden Workers",Northern Australia,2026-07-01,79
2,85,Food Preparation Assistants,Northern Australia,2026-07-01,52
2,89,Other Labourers,Northern Australia,2026-07-01,484
4,8111,Car Detailers,Northern Australia,2026-07-01,12
4,8112,Commercial Cleaners,Northern Australia,2026-07-01,151
4,8113,Domestic Cleaners,Northern Australia,2026-07-01,0
4,8114,Housekeepers,Northern Australia,2026-07-01,70
4,8115,Laundry Workers,Northern Australia,2026-07-01,7
4,8116,Other Cleaners,Northern Australia,2026-07-01,2
4,8211,Building and Plumbing Labourers,Northern Australia,2026-07-01,106
4,8212,Concreters,Northern Australia,2026-07-01,24
4,8213,Fencers,Northern Australia,2026-07-01,2
4,8214,Insulation and Home Improvement Installers,Northern Australia,2026-07-01,6
4,8215,Paving and Surfacing Labourers,Northern Australia,2026-07-01,0
4,8216,Railway Track Workers,Northern Australia,2026-07-01,6
4,8217,Structural Steel Construction Workers,Northern Australia,2026-07-01,63
4,8219,Other Construction and Mining Labourers,Northern Australia,2026-07-01,17
4,8311,Food and Drink Factory Workers,Northern Australia,2026-07-01,3
4,8312,"Meat Boners and Slicers, and Slaughterers",Northern Australia,2026-07-01,2
4,8313,"Meat, Poultry and Seafood Process Workers",Northern Australia,2026-07-01,4
4,8321,Packers,Northern Australia,2026-07-01,19
4,8322,Product Assemblers,Northern Australia,2026-07-01,2
4,8391,Metal Engineering Process Workers,Northern Australia,2026-07-01,6
4,8392,Plastics and Rubber Factory Workers,Northern Australia,2026-07-01,0
4,8393,Product Quality Controllers,Northern Australia,2026-07-01,17
4,8394,Timber and Wood Process Workers,Northern Australia,2026-07-01,0
4,8399,Other Factory Process Workers,Northern Australia,2026-07-01,8
4,8411,Aquaculture Workers,Northern Australia,2026-07-01,1
4,8412,Crop Farm Workers,Northern Australia,2026-07-01,14
