anzsco_code,occupation,state,share_pct
134212,Nursing Clinical Directors,ACT,2.4
134213,Primary Health Organisation Managers,NSW,22.6
134213,Primary Health Organisation Managers,VIC,29.3
134213,Primary Health Organisation Managers,QLD,20.3
134213,Primary Health Organisation Managers,SA,4.5
134213,Primary Health Organisation Managers,WA,8.6
134213,Primary Health Organisation Managers,TAS,1.1
134213,Primary Health Organisation Managers,NT,4.9
134213,Primary Health Organisation Managers,ACT,4.5
134214,Welfare Centre Managers,NSW,30
134214,Welfare Centre Managers,VIC,28.3
134214,Welfare Centre Managers,QLD,18.5
134214,Welfare Centre Managers,SA,7.5
134214,Welfare Centre Managers,WA,7.3
134214,Welfare Centre Managers,TAS,2
134214,Welfare Centre Managers,NT,2.4
134214,Welfare Centre Managers,ACT,3.5
134299,Other Health and Welfare Services Managers,NSW,35.2
134299,Other Health and Welfare Services Managers,VIC,23.9
134299,Other Health and Welfare Services Managers,QLD,19
134299,Other Health and Welfare Services Managers,SA,7.7
134299,Other Health and Welfare Services Managers,WA,9
134299,Other Health and Welfare Services Managers,TAS,2.2
134299,Other Health and Welfare Services Managers,NT,1.3
134299,Other Health and Welfare Services Managers,ACT,1.8
134411,Faculty Heads,NSW,37.3
134411,Faculty Heads,VIC,27.9
134411,Faculty Heads,QLD,17.1
134411,Faculty Heads,SA,5.2
134411,Faculty Heads,WA,6.9
134411,Faculty Heads,TAS,1.5
134411,Faculty Heads,NT,0.6
134411,Faculty Heads,ACT,3.4
134412,Regional Education Managers,NSW,26.8
134412,Regional Education Managers,VIC,25.3
134412,Regional Education Managers,QLD,21.7
134412,Regional Education Managers,SA,9.6
134412,Regional Education Managers,WA,8.9
134412,Regional Education Managers,TAS,1.7
134412,Regional Education Managers,NT,2.9
134412,Regional Education Managers,ACT,3.1
134499,Education Managers (not covered elsewhere),NSW,30.1
134499,Education Managers (not covered elsewhere),VIC,32.1
134499,Education Managers (not covered elsewhere),QLD,16.9
134499,Education Managers (not covered elsewhere),SA,7.1
134499,Education Managers (not covered elsewhere),WA,7.6
134499,Education Managers (not covered elsewhere),TAS,2.2
134499,Education Managers (not covered elsewhere),NT,1.2
134499,Education Managers (not covered elsewhere),ACT,2.9
135111,Chief Information Officers,NSW,40.6
135111,Chief Information Officers,VIC,31.3
135111,Chief Information Officers,QLD,14.3
135111,Chief Information Officers,SA,4
135111,Chief Information Officers,WA,6.2
135111,Chief Information Officers,TAS,0.8
135111,Chief Information Officers,NT,0.2
135111,Chief Information Officers,ACT,2.6
135112,ICT Project Managers,NSW,38.5
135112,ICT Project Managers,VIC,30.7
135112,ICT Project Managers,QLD,12.9
135112,ICT Project Managers,SA,4.1
135112,ICT Project Managers,WA,6.2
135112,ICT Project Managers,TAS,0.8
135112,ICT Project Managers,NT,0.4
135112,ICT Project Managers,ACT,6.5
135199,Other ICT Managers,NSW,39.3
135199,Other ICT Managers,VIC,30.2
135199,Other ICT Managers,QLD,12.8
135199,Other ICT Managers,SA,4.7
135199,Other ICT Managers,WA,6.4
135199,Other ICT Managers,TAS,0.9
135199,Other ICT Managers,NT,0.6
135199,Other ICT Managers,ACT,5.1
139111,Commissioned Defence Force Officers,NSW,28.9
139111,Commissioned Defence Force Officers,VIC,9.1
139111,Commissioned Defence Force Officers,QLD,19.2
139111,Commissioned Defence Force Officers,SA,5.3
139111,Commissioned Defence Force Officers,WA,5
139111,Commissioned Defence Force Officers,TAS,0.4
139111,Commissioned Defence Force Officers,NT,4
139111,Commissioned Defence Force Officers,ACT,27.8
139112,Commissioned Fire Officers,NSW,26.9
139112,Commissioned Fire Officers,VIC,28.8
139112,Commissioned Fire Officers,QLD,17.9
139112,Commissioned Fire Officers,SA,7.6
139112,Commissioned Fire Officers,WA,10.6
139112,Commissioned Fire Officers,TAS,3.8
139112,Commissioned Fire Officers,NT,2.1
139112,Commissioned Fire Officers,ACT,1.7
139113,Commissioned Police Officers,NSW,37.4
139113,Commissioned Police Officers,VIC,24.4
139113,Commissioned Police Officers,QLD,13.3
139113,Commissioned Police Officers,SA,6.8
139113,Commissioned Police Officers,WA,8.1
139113,Commissioned Police Officers,TAS,3.5
139113,Commissioned Police Officers,NT,2.4
139113,Commissioned Police Officers,ACT,4.1
139911,Arts Administrators and Managers,NSW,32.1
139911,Arts Administrators and Managers,VIC,30.1
139911,Arts Administrators and Managers,QLD,12.6
139911,Arts Administrators and Managers,SA,5.7
139911,Arts Administrators and Managers,WA,9.2
139911,Arts Administrators and Managers,TAS,3
139911,Arts Administrators and Managers,NT,2.5
139911,Arts Administrators and Managers,ACT,4.1
139912,Environmental Managers,NSW,32.8
139912,Environmental Managers,VIC,26.2
139912,Environmental Managers,QLD,16.8
139912,Environmental Managers,SA,5.2
139912,Environmental Managers,WA,13.5
139912,Environmental Managers,TAS,1.8
139912,Environmental Managers,NT,1.2
139912,Environmental Managers,ACT,2.3
139913,Laboratory Managers,NSW,27.7
139913,Laboratory Managers,VIC,26.5
139913,Laboratory Managers,QLD,19.8
139913,Laboratory Managers,SA,7.9
139913,Laboratory Managers,WA,12.9
