classification_level,asced_field_code,field_name,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,detailed_field_code,detailed_field_name,data_source
narrow,0403,Building,04,ARCHITECTURE AND BUILDING,0403,Building,,,ASCED 2001
detailed,040301,Building Science and Technology,04,ARCHITECTURE AND BUILDING,0403,Building,040301,Building Science and Technology,ASCED 2001
detailed,040303,Building Construction Management,04,ARCHITECTURE AND BUILDING,0403,Building,040303,Building Construction Management,ASCED 2001
detailed,040305,Building Surveying,04,ARCHITECTURE AND BUILDING,0403,Building,040305,Building Surveying,ASCED 2001
detailed,040307,Building Construction Economics,04,ARCHITECTURE AND BUILDING,0403,Building,040307,Building Construction Economics,ASCED 2001
detailed,040309,Bricklaying and Stonemasonry,04,ARCHITECTURE AND BUILDING,0403,Building,040309,Bricklaying and Stonemasonry,ASCED 2001
detailed,040311,Carpentry and Joinery,04,ARCHITECTURE AND BUILDING,0403,Building,040311,Carpentry and Joinery,ASCED 2001
detailed,040313,"Ceiling, Wall and Floor Fixing",04,ARCHITECTURE AND BUILDING,0403,Building,040313,"Ceiling, Wall and Floor Fixing",ASCED 2001
detailed,040315,Roof Fixing,04,ARCHITECTURE AND BUILDING,0403,Building,040315,Roof Fixing,ASCED 2001
detailed,040317,Plastering,04,ARCHITECTURE AND BUILDING,0403,Building,040317,Plastering,ASCED 2001
detailed,040319,Furnishing Installation,04,ARCHITECTURE AND BUILDING,0403,Building,040319,Furnishing Installation,ASCED 2001
detailed,040321,Floor Coverings,04,ARCHITECTURE AND BUILDING,0403,Building,040321,Floor Coverings,ASCED 2001
detailed,040323,Glazing,04,ARCHITECTURE AND BUILDING,0403,Building,040323,Glazing,ASCED 2001
detailed,040325,"Painting, Decorating and Sign Writing",04,ARCHITECTURE AND BUILDING,0403,Building,040325,"Painting, Decorating and Sign Writing",ASCED 2001
detailed,040327,Plumbing,04,ARCHITECTURE AND BUILDING,0403,Building,040327,Plumbing,ASCED 2001
detailed,040329,Scaffolding and Rigging,04,ARCHITECTURE AND BUILDING,0403,Building,040329,Scaffolding and Rigging,ASCED 2001
detailed,040399,"Building, n.e.c.",04,ARCHITECTURE AND BUILDING,0403,Building,040399,"Building, n.e.c.",ASCED 2001
broad,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",,,,,ASCED 2001
narrow,0501,Agriculture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501,Agriculture,,,ASCED 2001
detailed,050101,Agricultural Science,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501,Agriculture,050101,Agricultural Science,ASCED 2001
detailed,050103,Wool Science,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501,Agriculture,050103,Wool Science,ASCED 2001
detailed,050105,Animal Husbandry,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501,Agriculture,050105,Animal Husbandry,ASCED 2001
detailed,050199,"Agriculture, n.e.c.",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501,Agriculture,050199,"Agriculture, n.e.c.",ASCED 2001
narrow,0503,Horticulture and Viticulture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0503,Horticulture and Viticulture,,,ASCED 2001
detailed,050301,Horticulture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0503,Horticulture and Viticulture,050301,Horticulture,ASCED 2001
detailed,050303,Viticulture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0503,Horticulture and Viticulture,050303,Viticulture,ASCED 2001
narrow,0505,Forestry Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0505,Forestry Studies,,,ASCED 2001
detailed,050501,Forestry Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0505,Forestry Studies,050501,Forestry Studies,ASCED 2001
narrow,0507,Fisheries Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0507,Fisheries Studies,,,ASCED 2001
detailed,050701,Aquaculture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0507,Fisheries Studies,050701,Aquaculture,ASCED 2001
detailed,050799,"Fisheries Studies, n.e.c.",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0507,Fisheries Studies,050799,"Fisheries Studies, n.e.c.",ASCED 2001
narrow,0509,Environmental Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0509,Environmental Studies,,,ASCED 2001
detailed,050901,"Land, Parks and Wildlife Management",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0509,Environmental Studies,050901,"Land, Parks and Wildlife Management",ASCED 2001
detailed,050999,"Environmental Studies, n.e.c.",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0509,Environmental Studies,050999,"Environmental Studies, n.e.c.",ASCED 2001
