level,state,region,anzsco_code,anzsco_title,date,vacancies
3,SA,Yorke Peninsula & Clare Valley,14,"Hospitality, Retail and Service Managers",2026-07-01,12.333
3,SA,Yorke Peninsula & Clare Valley,1A,Corporate Managers,2026-07-01,6
3,SA,Yorke Peninsula & Clare Valley,1B,"Construction, Production and Distribution Managers",2026-07-01,4
3,SA,Yorke Peninsula & Clare Valley,1C,"Health, Education, ICT and Other Managers",2026-07-01,2
2,SA,Yorke Peninsula & Clare Valley,2,PROFESSIONALS,2026-07-01,157
3,SA,Yorke Peninsula & Clare Valley,21,Arts and Media Professionals,2026-07-01,1.667
3,SA,Yorke Peninsula & Clare Valley,24,Education Professionals,2026-07-01,3.333
3,SA,Yorke Peninsula & Clare Valley,26,ICT Professionals,2026-07-01,2
3,SA,Yorke Peninsula & Clare Valley,27,"Legal, Social and Welfare Professionals",2026-07-01,16
3,SA,Yorke Peninsula & Clare Valley,2A,"Business, Finance and Human Resource Professionals",2026-07-01,5
3,SA,Yorke Peninsula & Clare Valley,2B,Information Professionals,2026-07-01,0.333
3,SA,Yorke Peninsula & Clare Valley,2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,1.333
3,SA,Yorke Peninsula & Clare Valley,2D,"Transport and Design Professionals, and Architects",2026-07-01,0
3,SA,Yorke Peninsula & Clare Valley,2E,Engineers,2026-07-01,5.667
3,SA,Yorke Peninsula & Clare Valley,2F,Science Professionals and Veterinarians,2026-07-01,4
3,SA,Yorke Peninsula & Clare Valley,2G,Health Diagnostic and Therapy Professionals,2026-07-01,24
3,SA,Yorke Peninsula & Clare Valley,2H,Medical Practitioners and Nurses,2026-07-01,93.667
2,SA,Yorke Peninsula & Clare Valley,3,TECHNICIANS AND TRADES WORKERS,2026-07-01,49.333
3,SA,Yorke Peninsula & Clare Valley,31,"Engineering, ICT and Science Technicians",2026-07-01,7.667
3,SA,Yorke Peninsula & Clare Valley,32,Automotive and Engineering Trades Workers,2026-07-01,13.333
3,SA,Yorke Peninsula & Clare Valley,33,Construction Trades Workers,2026-07-01,2
3,SA,Yorke Peninsula & Clare Valley,34,Electrotechnology and Telecommunications Trades Workers,2026-07-01,6.667
3,SA,Yorke Peninsula & Clare Valley,35,Food Trades Workers,2026-07-01,13.667
3,SA,Yorke Peninsula & Clare Valley,36,Skilled Animal and Horticultural Workers,2026-07-01,3
3,SA,Yorke Peninsula & Clare Valley,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",2026-07-01,0.333
3,SA,Yorke Peninsula & Clare Valley,3B,"Jewellers, Arts and Other Trades Workers",2026-07-01,2.667
2,SA,Yorke Peninsula & Clare Valley,4,COMMUNITY AND PERSONAL SERVICE WORKERS,2026-07-01,78.333
3,SA,Yorke Peninsula & Clare Valley,41,Health and Welfare Support Workers,2026-07-01,42.667
3,SA,Yorke Peninsula & Clare Valley,42,Carers and Aides,2026-07-01,27
3,SA,Yorke Peninsula & Clare Valley,43,Hospitality Workers,2026-07-01,3.333
3,SA,Yorke Peninsula & Clare Valley,44,Protective Service Workers,2026-07-01,1.333
3,SA,Yorke Peninsula & Clare Valley,45,"Sports, Travel and Personal Service Workers",2026-07-01,4
2,SA,Yorke Peninsula & Clare Valley,5,CLERICAL AND ADMINISTRATIVE WORKERS,2026-07-01,35.667
3,SA,Yorke Peninsula & Clare Valley,55,Numerical Clerks,2026-07-01,3.333
3,SA,Yorke Peninsula & Clare Valley,56,Clerical and Office Support Workers,2026-07-01,3.333
3,SA,Yorke Peninsula & Clare Valley,59,Other Clerical and Administrative Workers,2026-07-01,5.333
3,SA,Yorke Peninsula & Clare Valley,5A,"Office Managers, Administrators and Secretaries",2026-07-01,5
3,SA,Yorke Peninsula & Clare Valley,5B,"General-Inquiry Clerks, Call Centre Workers, and Receptionists",2026-07-01,18.667
2,SA,Yorke Peninsula & Clare Valley,6,SALES WORKERS,2026-07-01,23
3,SA,Yorke Peninsula & Clare Valley,61,Sales Representatives and Agents,2026-07-01,3
3,SA,Yorke Peninsula & Clare Valley,62,Sales Assistants and Salespersons,2026-07-01,13.667
3,SA,Yorke Peninsula & Clare Valley,63,Sales Support Workers,2026-07-01,6.333
2,SA,Yorke Peninsula & Clare Valley,7,MACHINERY OPERATORS AND DRIVERS,2026-07-01,21.333
3,SA,Yorke Peninsula & Clare Valley,71,Machine and Stationary Plant Operators,2026-07-01,8
3,SA,Yorke Peninsula & Clare Valley,72,Mobile Plant Operators,2026-07-01,4.667
3,SA,Yorke Peninsula & Clare Valley,7A,Drivers and Storepersons,2026-07-01,8.667
2,SA,Yorke Peninsula & Clare Valley,8,LABOURERS,2026-07-01,34
3,SA,Yorke Peninsula & Clare Valley,81,Cleaners and Laundry Workers,2026-07-01,8.333
3,SA,Yorke Peninsula & Clare Valley,82,Construction and Mining Labourers,2026-07-01,3
3,SA,Yorke Peninsula & Clare Valley,83,Factory Process Workers,2026-07-01,2
3,SA,Yorke Peninsula & Clare Valley,84,"Farm, Forestry and Garden Workers",2026-07-01,3
3,SA,Yorke Peninsula & Clare Valley,85,Food Preparation Assistants,2026-07-01,3
3,SA,Yorke Peninsula & Clare Valley,89,Other Labourers,2026-07-01,14.667
1,WA,Goldfields & Southern WA,0,Goldfields & Southern WA TOTAL,2026-07-01,1889.333
2,WA,Goldfields & Southern WA,1,MANAGERS,2026-07-01,160.333
3,WA,Goldfields & Southern WA,11,"Chief Executives, Managing Directors & Legislators",2026-07-01,6
3,WA,Goldfields & Southern WA,12,Farmers and Farm Managers,2026-07-01,6.667
3,WA,Goldfields & Southern WA,14,"Hospitality, Retail and Service Managers",2026-07-01,62
3,WA,Goldfields & Southern WA,1A,Corporate Managers,2026-07-01,40.333
3,WA,Goldfields & Southern WA,1B,"Construction, Production and Distribution Managers",2026-07-01,37.667
3,WA,Goldfields & Southern WA,1C,"Health, Education, ICT and Other Managers",2026-07-01,7.667
2,WA,Goldfields & Southern WA,2,PROFESSIONALS,2026-07-01,404.667
3,WA,Goldfields & Southern WA,21,Arts and Media Professionals,2026-07-01,6.667
3,WA,Goldfields & Southern WA,24,Education Professionals,2026-07-01,14.333
3,WA,Goldfields & Southern WA,26,ICT Professionals,2026-07-01,4.667
3,WA,Goldfields & Southern WA,27,"Legal, Social and Welfare Professionals",2026-07-01,79
3,WA,Goldfields & Southern WA,2A,"Business, Finance and Human Resource Professionals",2026-07-01,31
3,WA,Goldfields & Southern WA,2B,Information Professionals,2026-07-01,8
3,WA,Goldfields & Southern WA,2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,6.667
3,WA,Goldfields & Southern WA,2D,"Transport and Design Professionals, and Architects",2026-07-01,10.333
3,WA,Goldfields & Southern WA,2E,Engineers,2026-07-01,78
3,WA,Goldfields & Southern WA,2F,Science Professionals and Veterinarians,2026-07-01,51
3,WA,Goldfields & Southern WA,2G,Health Diagnostic and Therapy Professionals,2026-07-01,40
3,WA,Goldfields & Southern WA,2H,Medical Practitioners and Nurses,2026-07-01,75
2,WA,Goldfields & Southern WA,3,TECHNICIANS AND TRADES WORKERS,2026-07-01,456.667
3,WA,Goldfields & Southern WA,31,"Engineering, ICT and Science Technicians",2026-07-01,58.333
3,WA,Goldfields & Southern WA,32,Automotive and Engineering Trades Workers,2026-07-01,233.333
3,WA,Goldfields & Southern WA,33,Construction Trades Workers,2026-07-01,29.333
3,WA,Goldfields & Southern WA,34,Electrotechnology and Telecommunications Trades Workers,2026-07-01,67
3,WA,Goldfields & Southern WA,35,Food Trades Workers,2026-07-01,35.667
