level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
4,5613,Filing and Registry Clerks,Regional,2026-07-01,21
4,5614,Mail Sorters,Regional,2026-07-01,8
4,5615,Survey Interviewers,Regional,2026-07-01,81
4,5616,Switchboard Operators,Regional,2026-07-01,1
4,5619,Other Clerical and Office Support Workers,Regional,2026-07-01,32
4,5911,Purchasing and Supply Logistics Clerks,Regional,2026-07-01,503
4,5912,Transport and Despatch Clerks,Regional,2026-07-01,202
4,5991,Conveyancers and Legal Executives,Regional,2026-07-01,64
4,5992,Court and Legal Clerks,Regional,2026-07-01,43
4,5993,Debt Collectors,Regional,2026-07-01,21
4,5994,Human Resource Clerks,Regional,2026-07-01,19
4,5995,Inspectors and Regulatory Officers,Regional,2026-07-01,209
4,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",Regional,2026-07-01,74
4,5997,Library Assistants,Regional,2026-07-01,18
4,5999,Other Miscellaneous Clerical and Administrative Workers,Regional,2026-07-01,57
1,6,SALES WORKERS,Regional,2026-07-01,4561
2,61,Sales Representatives and Agents,Regional,2026-07-01,944
2,62,Sales Assistants and Salespersons,Regional,2026-07-01,3256
2,63,Sales Support Workers,Regional,2026-07-01,360
4,6111,"Auctioneers, and Stock and Station Agents",Regional,2026-07-01,3
4,6112,Insurance Agents,Regional,2026-07-01,63
4,6113,Sales Representatives,Regional,2026-07-01,545
4,6121,Real Estate Sales Agents,Regional,2026-07-01,333
4,6211,Sales Assistants (General),Regional,2026-07-01,2772
4,6212,ICT Sales Assistants,Regional,2026-07-01,2
4,6213,Motor Vehicle and Vehicle Parts Salespersons,Regional,2026-07-01,267
4,6214,Pharmacy Sales Assistants,Regional,2026-07-01,100
4,6215,Retail Supervisors,Regional,2026-07-01,90
4,6216,Service Station Attendants,Regional,2026-07-01,11
4,6217,Street Vendors and Related Salespersons,Regional,2026-07-01,3
4,6219,Other Sales Assistants and Salespersons,Regional,2026-07-01,12
4,6311,Checkout Operators and Office Cashiers,Regional,2026-07-01,28
4,6391,Models and Sales Demonstrators,Regional,2026-07-01,170
4,6392,Retail and Wool Buyers,Regional,2026-07-01,6
4,6393,Telemarketers,Regional,2026-07-01,16
4,6394,Ticket Salespersons,Regional,2026-07-01,17
4,6395,Visual Merchandisers,Regional,2026-07-01,15
4,6399,Other Sales Support Workers,Regional,2026-07-01,108
1,7,MACHINERY OPERATORS AND DRIVERS,Regional,2026-07-01,4438
2,71,Machine and Stationary Plant Operators,Regional,2026-07-01,1081
2,72,Mobile Plant Operators,Regional,2026-07-01,1061
2,7A,Drivers and Storepersons,Regional,2026-07-01,2296
4,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Regional,2026-07-01,0
4,7112,Industrial Spraypainters,Regional,2026-07-01,59
4,7113,Paper and Wood Processing Machine Operators,Regional,2026-07-01,4
4,7114,Photographic Developers and Printers,Regional,2026-07-01,0
4,7115,Plastics and Rubber Production Machine Operators,Regional,2026-07-01,13
4,7116,Sewing Machinists,Regional,2026-07-01,41
4,7117,Textile and Footwear Production Machine Operators,Regional,2026-07-01,6
4,7119,Other Machine Operators,Regional,2026-07-01,218
4,7121,"Crane, Hoist and Lift Operators",Regional,2026-07-01,119
4,7122,"Drillers, Miners and Shot Firers",Regional,2026-07-01,407
4,7123,Engineering Production Workers,Regional,2026-07-01,39
4,7129,Other Stationary Plant Operators,Regional,2026-07-01,172
4,7211,"Agricultural, Forestry and Horticultural Plant Operators",Regional,2026-07-01,37
4,7212,Earthmoving Plant Operators,Regional,2026-07-01,609
4,7213,Forklift Drivers,Regional,2026-07-01,300
4,7219,Other Mobile Plant Operators,Regional,2026-07-01,115
4,7311,Automobile Drivers,Regional,2026-07-01,21
4,7312,Bus and Coach Drivers,Regional,2026-07-01,162
4,7313,Train and Tram Drivers,Regional,2026-07-01,58
4,7321,Delivery Drivers,Regional,2026-07-01,378
4,7331,Truck Drivers,Regional,2026-07-01,1100
4,7411,Storepersons,Regional,2026-07-01,576
1,8,LABOURERS,Regional,2026-07-01,4726
2,81,Cleaners and Laundry Workers,Regional,2026-07-01,1066
2,82,Construction and Mining Labourers,Regional,2026-07-01,585
2,83,Factory Process Workers,Regional,2026-07-01,405
2,84,"Farm, Forestry and Garden Workers",Regional,2026-07-01,479
2,85,Food Preparation Assistants,Regional,2026-07-01,301
2,89,Other Labourers,Regional,2026-07-01,1889
4,8111,Car Detailers,Regional,2026-07-01,57
4,8112,Commercial Cleaners,Regional,2026-07-01,668
4,8113,Domestic Cleaners,Regional,2026-07-01,9
4,8114,Housekeepers,Regional,2026-07-01,278
4,8115,Laundry Workers,Regional,2026-07-01,34
4,8116,Other Cleaners,Regional,2026-07-01,20
4,8211,Building and Plumbing Labourers,Regional,2026-07-01,299
4,8212,Concreters,Regional,2026-07-01,59
4,8213,Fencers,Regional,2026-07-01,15
4,8214,Insulation and Home Improvement Installers,Regional,2026-07-01,23
4,8215,Paving and Surfacing Labourers,Regional,2026-07-01,7
4,8216,Railway Track Workers,Regional,2026-07-01,14
4,8217,Structural Steel Construction Workers,Regional,2026-07-01,126
4,8219,Other Construction and Mining Labourers,Regional,2026-07-01,43
4,8311,Food and Drink Factory Workers,Regional,2026-07-01,56
4,8312,"Meat Boners and Slicers, and Slaughterers",Regional,2026-07-01,16
4,8313,"Meat, Poultry and Seafood Process Workers",Regional,2026-07-01,31
4,8321,Packers,Regional,2026-07-01,81
4,8322,Product Assemblers,Regional,2026-07-01,40
4,8391,Metal Engineering Process Workers,Regional,2026-07-01,11
4,8392,Plastics and Rubber Factory Workers,Regional,2026-07-01,0
4,8393,Product Quality Controllers,Regional,2026-07-01,80
4,8394,Timber and Wood Process Workers,Regional,2026-07-01,4
4,8399,Other Factory Process Workers,Regional,2026-07-01,86
4,8411,Aquaculture Workers,Regional,2026-07-01,1
4,8412,Crop Farm Workers,Regional,2026-07-01,73
4,8413,Forestry and Logging Workers,Regional,2026-07-01,8
4,8414,Garden and Nursery Labourers,Regional,2026-07-01,81
4,8415,Livestock Farm Workers,Regional,2026-07-01,120
4,8416,Mixed Crop and Livestock Farm Workers,Regional,2026-07-01,146
4,8419,"Other Farm, Forestry and Garden Workers",Regional,2026-07-01,51
4,8511,Fast Food Cooks,Regional,2026-07-01,7
4,8512,Food Trades Assistants,Regional,2026-07-01,9
4,8513,Kitchenhands,Regional,2026-07-01,285
4,8911,Freight and Furniture Handlers,Regional,2026-07-01,67
