cricos_provider_code,institution_name,cricos_course_code,course_name,vet_national_code,dual_qualification,course_level,primary_broad_field_code,primary_broad_field_name,primary_narrow_field_code,primary_narrow_field_name,primary_detailed_field_code,primary_detailed_field_name,secondary_broad_field_code,secondary_broad_field_name,secondary_narrow_field_code,secondary_narrow_field_name,secondary_detailed_field_code,secondary_detailed_field_name,foundation_studies,work_component,work_component_hours_per_week,work_component_weeks,work_component_total_hours,course_language,duration_weeks,tuition_fee_aud,non_tuition_fee_aud,estimated_total_course_cost_aud,data_source
00002J,Macquarie University (Macquarie),027361G,Combined PHD/Masters in Clinical Psychology,,No,Doctoral Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,09,Society and Culture,0907,Behavioural Science,090701,Psychology,No,No,0.0,0,0,English,156,168600,0,168600,CRICOS
00002J,Macquarie University (Macquarie),027373D,Master of Clinical Audiology,,No,Masters Degree (Coursework),06,Health,0617,Rehabilitation Therapies,061709,Audiology,,,,,,,No,Yes,25.0,10,250,English,104,129500,746,130246,CRICOS
00002J,Macquarie University (Macquarie),027374C,Master of Clinical Neuropsychology,,No,Masters Degree (Coursework),09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,Yes,14.0,75,,English,104,104000,746,104746,CRICOS
00002J,Macquarie University (Macquarie),028662J,Study Abroad,,No,Non AQF Award,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,0.0,0,0,English,52,23800,0,23800,CRICOS
00002J,Macquarie University (Macquarie),028866G,Bachelor of Chiropractic Science,,No,Bachelor Degree,06,Health,0617,Rehabilitation Therapies,061705,Chiropractic and Osteopathy,,,,,,,No,No,0.0,0,0,English,156,154000,1119,155119,CRICOS
00002J,Macquarie University (Macquarie),030053E,Master of Organisational Psychology,,No,Masters Degree (Coursework),09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,Yes,14.0,75,,English,104,104000,746,104746,CRICOS
00002J,Macquarie University (Macquarie),030079F,Master of Arts,,No,Masters Degree (Coursework),09,Society and Culture,0915,Language and Literature,091523,Literature,,,,,,,No,No,0.0,0,0,English,52,0,0,30752,CRICOS
00002J,Macquarie University (Macquarie),030375J,Bachelor of Applied Finance with the degree of Bachelor of Economics,,Yes,Bachelor Degree,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081101,Banking and Finance,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,No,No,0.0,0,0,English,208,199300,1492,200792,CRICOS
00002J,Macquarie University (Macquarie),031133G,Bachelor of Business Administration with the degree of Bachelor of Arts - Psychology,,Yes,Bachelor Degree,08,Management and Commerce,0803,Business and Management,080301,Business Management,09,Society and Culture,0907,Behavioural Science,090701,Psychology,No,No,0.0,0,0,English,208,199300,1492,200792,CRICOS
00002J,Macquarie University (Macquarie),031331B,Bachelor of Science - Psychology,,No,Bachelor Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,No,0.0,0,0,English,156,123000,1119,124119,CRICOS
