anzsco4_code,occupation,description,employed,median_weekly_earnings_aud,median_age,annual_employment_growth,average_full_time_hours_worked_per_week,vacancies_aust_jul_2026,vacancies_nsw_jul_2026,vacancies_vic_jul_2026,vacancies_qld_jul_2026,vacancies_sa_jul_2026,vacancies_wa_jul_2026,vacancies_tas_jul_2026,vacancies_nt_jul_2026,vacancies_act_jul_2026,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
2212,"Auditors, Company Secretaries and Corporate Treasurers","Auditors, Company Secretaries and Corporate Treasurers conduct audits of accounting systems, procedures and financial statements, manage corporate funding and financial risk, and administer and review corporate compliance activities.",33100,2104,40,800,43,645.66667,229.33333,156.0,116.33333,40.33333,66.66667,6.66667,9.66667,20.66667,31.540485238669,34.0722684476797,36.553635775958796,2.5317832090106975,8.027090229755572,5.013150537289796,15.894335484552455
2221,Financial Brokers,Financial Brokers operate as independent agents to facilitate the trading of commodities and arrange insurance and loans of money on behalf of clients.,53000,2576,42,3900,45,225.66667,79.33333,60.33333,39.66667,18.66667,22.66667,1.0,0.66667,3.33333,50.642136310549,53.684124891834294,57.047665452706,3.0419885812852954,6.006833050310389,6.405529142157,12.648615577504177
2222,Financial Dealers,Financial Dealers conduct financial market transactions on behalf of clients.,19400,2651,41,-400,47,48.33333,21.0,14.33333,7.33333,1.33333,2.66667,0.33333,0.33333,1.0,21.240346151163003,22.3969676507201,23.888180085520702,1.1566214995570974,5.445398541651202,2.647833934357699,12.466058300150246
2223,Financial Investment Advisers and Managers,"Financial Investment Advisers and Managers develop financial plans for individuals and organisations, and invest and manage funds on their behalf.",63400,2582,44,900,45,644.33333,222.0,179.0,119.0,39.33333,57.0,5.33333,3.66667,19.0,65.8102295518758,69.850380542398,74.18731212886469,4.040150990522193,6.139092688223323,8.377082576988883,12.72914960794284
2231,Human Resource Professionals,"Human Resource Professionals plan, develop, implement and evaluate staff recruitment, assist in resolving disputes by advising on workplace matters, and represent industrial, commercial, union, employer and other parties in negotiations on issues such as enterprise bargaining, rates of pay and conditions of employment.",84700,1970,38,-200,41,2404.66667,715.33333,543.0,544.66667,147.66667,353.33333,28.0,29.0,43.66667,89.6725217061978,96.2983335337055,102.91869553990101,6.625811827507704,7.38889874115111,13.24617383370321,14.771720011513503
2232,ICT Trainers,"ICT Trainers analyse and evaluate information-based system training needs and objectives, and develop, schedule and conduct ICT-based system training programs and courses.",3700,,47,400,42,6.33333,1.66667,2.66667,0.66667,0.0,0.0,0.0,0.0,1.33333,2.96549091402286,3.21353761783626,3.44323138939956,0.2480467038134,8.364439851778547,0.47774047537670006,16.109996261246927
2233,Training and Development Professionals,"Training and Development Professionals plan, develop, implement and evaluate training and development programs to ensure management and staff acquire the skills and develop the competencies required by organisations to meet organisational objectives.",33700,1956,44,1600,42,834.66667,192.0,152.33333,200.33333,53.66667,189.0,17.33333,14.66667,15.33333,31.7939385844575,34.1833736841543,36.51973637778,2.3894350996967972,7.515379364999072,4.725797793322499,14.863832553393403
2241,"Actuaries, Mathematicians and Statisticians","Actuaries, Mathematicians and Statisticians develop and apply actuarial, mathematical, statistical and quantitative principles and techniques to solve problems in a range of fields such as business and finance, scientific and social research, and engineering.",12600,2072,38,500,42,141.0,63.66667,42.33333,22.33333,4.0,7.33333,0.66667,0.33333,0.33333,12.479423154862799,14.485595053287799,15.9126587496563,2.0061718984250003,16.075838390360733,3.4332355947935014,27.5111722087546
2242,"Archivists, Curators and Records Managers","Archivists, Curators and Records Managers develop, maintain, implement and deliver systems for keeping, updating, accessing and preserving records, files, information, historical documents and artefacts.",9800,2279,41,400,41,95.66667,21.66667,30.33333,10.0,9.0,10.66667,1.66667,3.0,9.33333,10.2131083552503,11.9843097994618,13.1847423306104,1.7712014442114992,17.342432711006825,2.971633975360099,29.09627384725099
2243,Economists,"Economists perform economic research and analysis, develop and apply theories about production and distribution of goods and services and people's spending and financial behaviour, and provide advice to governments and organisations on economic policy issues.",4600,2862,35,-100,43,26.33333,12.0,7.33333,2.33333,0.0,3.0,0.0,0.0,1.66667,4.44332413354164,5.14171065527121,5.59769123892284,0.6983865217295708,15.71765868840426,1.1543671053812004,25.979808600213218
