cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
045284M,Master of International Trade and Commerce Law,Masters Degree (Coursework),1,09,Society and Culture,0909,Law,090909,International Law,CRICOS
047324C,Bachelor of Education (Primary),Bachelor Degree,1,07,Education,0701,Teacher Education,070103,Teacher Education: Primary,CRICOS
047326A,Bachelor of Engineering,Bachelor Degree,1,03,Engineering and Related Technologies,0399,Other Engineering and Related Technologies,039999,"Engineering and Related Technologies, n.e.c.",CRICOS
047327M,Bachelor of Information Technology,Bachelor Degree,1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
047337J,Master of Laws,Masters Degree (Coursework),1,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",CRICOS
048246D,Bachelor of Commerce,Bachelor Degree,1,08,Management and Commerce,0899,Other Management and Commerce,089999,"Management and Commerce, n.e.c.",CRICOS
054336G,Bachelor of International Studies,Bachelor Degree,1,09,Society and Culture,0915,Language and Literature,091599,"Language and Literature, n.e.c.",CRICOS
056664G,Master of Philosophy (Business and Economics),Masters Degree (Research),1,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,CRICOS
056667E,Master of Philosophy (Arts),Masters Degree (Research),1,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",CRICOS
056670K,Master of Philosophy (Science and Engineering),Masters Degree (Research),1,05,"Agriculture, Environmental and Related Studies",0509,Environmental Studies,050999,"Environmental Studies, n.e.c.",CRICOS
058390B,Master of Teaching (Birth to Five Years),Masters Degree (Coursework),1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
060660M,Master of Advanced Surgery,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060103,Surgery,CRICOS
060661K,Master of Surgery,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060103,Surgery,CRICOS
060724M,Bachelor of Planning,Bachelor Degree,1,04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,CRICOS
060726J,Bachelor of Engineering with the degree of Bachelor of Commerce,Bachelor Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
060726J,Bachelor of Engineering with the degree of Bachelor of Commerce,Bachelor Degree,2,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",CRICOS
060727G,Bachelor of Engineering with the degree of Bachelor of Science,Bachelor Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
