industry_label,males,females,persons
"Total Electricity, Gas, Water and Waste Services",99798,34567,134368
"Construction, nfd",45914,9773,55683
"Building Construction, nfd",31002,5933,36934
"Residential Building Construction, nfd",167,28,193
House Construction,84002,22823,106824
Other Residential Building Construction,38874,7444,46323
Non-Residential Building Construction,74498,15295,89793
"Heavy and Civil Engineering Construction, nfd",1002,157,1159
Road and Bridge Construction,32568,6394,38956
Other Heavy and Civil Engineering Construction,60449,14451,74897
"Construction Services, nfd",6409,1363,7773
"Land Development and Site Preparation Services, nfd",43,11,56
Land Development and Subdivision,3695,1709,5411
Site Preparation Services,34110,5922,40029
"Building Structure Services, nfd",68,16,78
Concreting Services,36176,4080,40262
Bricklaying Services,14489,880,15366
Roofing Services,15674,2225,17900
Structural Steel Erection Services,4787,647,5436
"Building Installation Services, nfd",619,168,796
Plumbing Services,65174,9492,74662
Electrical Services,97508,13778,111289
Air Conditioning and Heating Services,15465,2830,18299
Fire and Security Alarm Installation Services,9511,2076,11587
Other Building Installation Services,8692,1791,10489
"Building Completion Services, nfd",309,58,365
Plastering and Ceiling Services,19643,1892,21540
Carpentry Services,69250,4795,74044
Tiling and Carpeting Services,21866,2749,24616
Painting and Decorating Services,37799,5056,42857
Glazing Services,9898,1985,11886
"Other Construction Services, nfd",118,28,147
Landscape Construction Services,40856,6552,47412
Hire of Construction Machinery with Operator,3581,716,4300
Other Construction Services nec,26435,3852,30292
Total Construction,910676,156968,1067645
"Wholesale Trade, nfd",8373,5227,13597
"Basic Material Wholesaling, nfd",270,149,415
"Agricultural Product Wholesaling, nfd",86,44,132
Wool Wholesaling,388,151,538
Cereal Grain Wholesaling,1027,458,1484
Other Agricultural Product Wholesaling,7696,5487,13187
"Mineral, Metal and Chemical Wholesaling, nfd",11,8,19
Petroleum Product Wholesaling,4743,2371,7115
Metal and Mineral Wholesaling,6826,1815,8642
Industrial and Agricultural Chemical Product Wholesaling,3092,1525,4617
"Timber and Hardware Goods Wholesaling, nfd",57,24,83
Timber Wholesaling,4294,1099,5395
Plumbing Goods Wholesaling,5443,1858,7305
Other Hardware Goods Wholesaling,17508,6540,24052
"Machinery and Equipment Wholesaling, nfd",853,329,1188
"Specialised Industrial Machinery and Equipment Wholesaling, nfd",16,3,19
Agricultural and Construction Machinery Wholesaling,11397,2974,14373
Other Specialised Industrial Machinery and Equipment Wholesaling,11185,3228,14410
"Other Machinery and Equipment Wholesaling, nfd",514,220,740
Professional and Scientific Goods Wholesaling,8037,6765,14804
Computer and Computer Peripheral Wholesaling,8051,3175,11222
Telecommunication Goods Wholesaling,2998,921,3925
Other Electrical and Electronic Goods Wholesaling,15670,6210,21879
Other Machinery and Equipment Wholesaling nec,5361,1618,6985
"Motor Vehicle and Motor Vehicle Parts Wholesaling, nfd",285,98,386
Car Wholesaling,5610,1770,7388
Commercial Vehicle Wholesaling,3619,833,4454
Trailer and Other Motor Vehicle Wholesaling,412,136,558
Motor Vehicle New Parts Wholesaling,9319,2729,12045
Motor Vehicle Dismantling and Used Parts Wholesaling,1687,270,1960
"Grocery, Liquor and Tobacco Product Wholesaling, nfd",379,217,596
General Line Grocery Wholesaling,6277,2720,8996
"Meat, Poultry and Smallgoods Wholesaling",3303,1450,4752
Dairy Produce Wholesaling,610,361,971
Fish and Seafood Wholesaling,1589,895,2487
Fruit and Vegetable Wholesaling,4929,2634,7562
Liquor and Tobacco Product Wholesaling,2636,1713,4346
Other Grocery Wholesaling,11776,8206,19985
"Other Goods Wholesaling, nfd",175,138,306
"Textile, Clothing and Footwear Wholesaling, nfd",14,10,27
Textile Product Wholesaling,1035,1155,2196
Clothing and Footwear Wholesaling,4045,5936,9983
Pharmaceutical and Toiletry Goods Wholesaling,7284,11440,18716
"Furniture, Floor Covering and Other Goods Wholesaling, nfd",368,260,622
Furniture and Floor Covering Wholesaling,2333,1534,3873
Jewellery and Watch Wholesaling,430,605,1042
Kitchen and Diningware Wholesaling,919,1187,2107
Toy and Sporting Goods Wholesaling,1681,1025,2700
Book and Magazine Wholesaling,427,547,977
Paper Product Wholesaling,2195,1934,4135
Other Goods Wholesaling nec,4255,2797,7054
Commission-Based Wholesaling,3319,2197,5515
Total Wholesale Trade,204844,107022,311863
"Retail Trade, nfd",16316,17976,34285
"Motor Vehicle and Motor Vehicle Parts Retailing, nfd",84,21,111
"Motor Vehicle Retailing, nfd",666,289,955
Car Retailing,38480,12010,50493
Motor Cycle Retailing,1580,389,1973
Trailer and Other Motor Vehicle Retailing,1315,539,1848
"Motor Vehicle Parts and Tyre Retailing, nfd",37,19,53
Motor Vehicle Parts Retailing,12044,4458,16500
Tyre Retailing,4282,1100,5386
Fuel Retailing,19203,16564,35761
"Food Retailing, nfd",2145,3014,5167
Supermarket and Grocery Stores,136521,163285,299810
"Specialised Food Retailing, nfd",122,91,215
"Fresh Meat, Fish and Poultry Retailing",13685,6375,20062
Fruit and Vegetable Retailing,7246,6567,13810
Liquor Retailing,17311,10582,27889
Other Specialised Food Retailing,6962,15301,22267
"Other Store-Based Retailing, nfd",893,1280,2173
"Furniture, Floor Coverings, Houseware and Textile Goods Retailing, nfd",194,249,444
Furniture Retailing,11146,12165,23308
Floor Coverings Retailing,2579,1435,4011
Houseware Retailing,953,2788,3734
Manchester and Other Textile Goods Retailing,2486,10192,12671
"Electrical and Electronic Goods Retailing, nfd",172,94,263
"Electrical, Electronic and Gas Appliance Retailing",23392,15042,38433
Computer and Computer Peripheral Retailing,6244,2827,9070
Other Electrical and Electronic Goods Retailing,1754,1183,2936
"Hardware, Building and Garden Supplies Retailing, nfd",109,51,159
Hardware and Building Supplies Retailing,32286,26838,59126
Garden Supplies Retailing,2374,2338,4712
"Recreational Goods Retailing, nfd",84,73,160
Sport and Camping Equipment Retailing,11264,5212,16476
Entertainment Media Retailing,1893,1445,3339
Toy and Game Retailing,1828,2660,4486
Newspaper and Book Retailing,4683,9022,13703
Marine Equipment Retailing,1822,625,2442
"Clothing, Footwear and Personal Accessory Retailing, nfd",58,159,212
Clothing Retailing,18317,74384,92703
Footwear Retailing,6691,12870,19560
Watch and Jewellery Retailing,3892,14215,18108
Other Personal Accessory Retailing,605,3271,3875
Department Stores,21271,48969,70243
"Pharmaceutical and Other Store-Based Retailing, nfd",254,166,415
"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",17962,63232,81194
Stationery Goods Retailing,4371,5784,10160
Antique and Used Goods Retailing,3290,4240,7527
Flower Retailing,1141,6667,7811
Other Store-Based Retailing nec,13707,24227,37926
"Non-Store Retailing and Retail Commission-Based Buying and/or Selling, nfd",126,200,324
Non-Store Retailing,5114,5920,11035
Retail Commission-Based Buying and/or Selling,121,151,269
Total Retail Trade,481042,618571,1099617
"Accommodation and Food Services, nfd",913,916,1830
Accommodation,44622,62854,107476
"Food and Beverage Services, nfd",10817,10203,21016
"Cafes, Restaurants and Takeaway Food Services, nfd",1006,1205,2215
Cafes and Restaurants,118391,149613,268005
Takeaway Food Services,110196,122495,232691
Catering Services,14309,17414,31722
"Pubs, Taverns and Bars",38799,37802,76602
Clubs (Hospitality),19793,22395,42184
Total Accommodation and Food Services,358848,424891,783737
"Transport, Postal and Warehousing, nfd",17784,6885,24672
"Road Transport, nfd",603,131,740
Road Freight Transport,114649,20690,135344
"Road Passenger Transport, nfd",1972,531,2502
Interurban and Rural Bus Transport,3160,984,4143
Urban Bus Transport (Including Tramway),30491,6393,36874
Taxi and Other Road Transport,30044,3658,33700
"Rail Transport, nfd",3810,967,4775
Rail Freight Transport,8086,1894,9986
Rail Passenger Transport,22498,7610,30106
"Water Transport, nfd",1923,949,2871
Water Freight Transport,1755,492,2250
Water Passenger Transport,1476,823,2298
Air and Space Transport,23884,13675,37563
"Other Transport, nfd",0,0,0
Scenic and Sightseeing Transport,3067,1883,4951
"Pipeline and Other Transport, nfd",3,0,3
Pipeline Transport,1511,583,2089
Other Transport nec,435,277,709
"Postal and Courier Pick-up and Delivery Services, nfd",444,121,569
Postal Services,26791,18548,45334
Courier Pick-up and Delivery Services,41194,9671,50869
"Transport Support Services, nfd",128,48,174
"Water Transport Support Services, nfd",86,36,121
Stevedoring Services,2583,228,2810
Port and Water Transport Terminal Operations,6365,1613,7975
Other Water Transport Support Services,2728,827,3553
Airport Operations and Other Air Transport Support Services,7969,3609,11584
"Other Transport Support Services, nfd",45,26,71
Customs Agency Services,774,606,1374
Freight Forwarding Services,15816,7323,23138
Other Transport Support Services nec,11632,4766,16399
"Warehousing and Storage Services, nfd",198,49,247
Grain Storage Services,2245,754,2998
Other Warehousing and Storage Services,31292,12266,43558
"Total Transport, Postal and Warehousing",417438,128926,546364
